Deployment,Position,Bottle label,Nominal depth,Pressure,Temperature,Salinity,Time,Salt bottle
7,1,1,4950,4979.7,1.074,34.719,23-03-2017T15:56:02Z,
7,2,2,4800,4800.3,1.06,34.719,23-03-2017T16:03:18Z,
7,3,3,4500,4500.9,1.062,34.721,23-03-2017T16:09:27Z,
7,4,4,4200,4199.3,1.113,34.724,23-03-2017T16:15:57Z,
7,5,5,3800,3800.6,1.337,34.734,23-03-2017T16:24:29Z,
7,6,6,3500,3499.9,1.478,34.739,23-03-2017T16:31:26Z,
7,7,7,3250,3249.7,1.629,34.743,23-03-2017T16:37:09Z,
7,8,8,3000,3000.3,1.78,34.744,23-03-2017T16:43:05Z,
7,9,9,2800,2799.8,1.896,34.743,23-03-2017T16:48:04Z,
7,10,10,2600,2600.9,2.026,34.739,23-03-2017T16:53:30Z,
7,11,11,2400,2399.7,2.193,34.731,23-03-2017T16:58:25Z,
7,12,12,2200,2198.3,2.295,34.708,23-03-2017T17:03:03Z,
7,13,13,2000,2001.7,2.441,34.677,23-03-2017T17:07:18Z,
7,14,14,1800,1801.5,2.629,34.617,23-03-2017T17:11:39Z,
7,15,15,1600,1599.8,2.967,34.539,23-03-2017T17:16:12Z,
7,16,16,1500,1502.2,3.166,34.493,23-03-2017T17:18:58Z,
7,17,17,1400,1399.6,3.325,34.439,23-03-2017T17:22:17Z,
7,18,18,1300,1299.5,3.633,34.4,23-03-2017T17:25:10Z,
7,19,19,1200,1200.2,4.06,34.364,23-03-2017T17:27:56Z,
7,20,20,1000,1000.7,5.348,34.355,23-03-2017T17:32:15Z,
7,21,21,800,799.7,7.494,34.496,23-03-2017T17:36:54Z,
7,22,22,600,599.3,8.434,34.535,23-03-2017T17:41:42Z,
7,23,23,400,399.9,8.934,34.601,23-03-2017T17:46:15Z,
7,24,24,350,351.3,8.956,34.604,23-03-2017T17:48:19Z,
7,25,25,300,299.7,8.988,34.609,23-03-2017T17:50:08Z,
7,26,26,250,249.6,9.126,34.631,23-03-2017T17:52:01Z,
7,27,27,225,225.6,9.22,34.647,23-03-2017T17:53:33Z,
7,28,28,200,199.9,9.555,34.704,23-03-2017T17:55:01Z,
7,29,29,170,169.4,10.056,34.774,23-03-2017T17:56:36Z,
7,30,30,150,150.1,10.949,34.918,23-03-2017T17:57:57Z,
7,31,31,125,125.1,11.739,35.054,23-03-2017T17:59:19Z,
7,32,32,100,99.9,11.888,34.977,23-03-2017T18:00:50Z,
7,33,33,75,74.3,12.36,34.773,23-03-2017T18:02:30Z,
7,34,34,50,49.1,13.017,34.84,23-03-2017T18:03:57Z,
7,35,35,25,25.8,12.962,34.811,23-03-2017T18:05:43Z,
7,36,36,5,5.5,12.933,34.8,23-03-2017T18:07:27Z,