Type,Number,Correct N (ug),Correct C (ug),Volume,corrected C isp ug,ug/L C,depth,ug/L C,L through filter,,,
ISP1,1,42.36,230.05,224,228.53,1.020203728,30,122.5387921,1.877405376,,24.50775842,
ISP1,1,42.69,228.54,224,227.02,1.013460414,30,121.7342231,1.877405376,,24.34684462,24.94384414
ISP1,1,45.17,243.85,224,242.32,1.081771349,30,129.8846469,1.877405376,,25.97692938,
ISP1,2,29.86,160,291,158.47,0.544574755,70,65.60222954,2.438950734,,,
ISP1,2,29.43,160.87,291,159.35,0.547577841,70,65.9605385,2.438950734,,,
ISP1,2,29.92,163.88,291,162.35,0.557890169,70,67.19093954,2.438950734,,,
ISP1,3,14.69,88.46,745,86.93,0.116687398,100,14.16732342,6.24404913,,,
ISP1,3,13.58,79.04,745,77.51,0.10403449,100,12.65765936,6.24404913,,,
ISP1,3,13.58,81.19,745,79.66,0.106927836,100,13.00287489,6.24404913,,,
ISP1,4,9.37,55.54,680,54.01,0.07942211,150,9.744479994,5.69926632,,,
ISP1,4,9.09,54.83,680,53.31,0.078390654,150,9.621413349,5.69926632,,,
ISP1,4,9.16,56.11,680,54.58,0.080268746,150,9.845495223,5.69926632,,,
ISP1,5,9.85,55.99,1073,54.46,0.050753574,300,6.22565,8.993107002,,,
ISP1,5,9.75,49.58,1073,48.05,0.044780517,300,5.512983139,8.993107002,,,
ISP1,5,8.53,48.69,1073,47.16,0.043949341,300,5.413812548,8.993107002,,,
ISP1,6,6.11,35.61,1686,34.08,0.020213394,500,2.519960979,14.13082796,,,
ISP1,6,10.95,56.27,1686,54.75,0.032470461,500,3.982395745,14.13082796,,,
ISP1,6,11.88,59.54,1686,58.01,0.034408988,500,4.213688386,14.13082796,,,
ISP2,2,40.29,206.36,756,204.83,0.270933712,70,32.56744315,6.336243144,,,
ISP2,2,40.48,212.01,756,210.48,0.278416518,70,33.46024376,6.336243144,,,
ISP2,2,40.52,210.1,756,208.57,0.275888308,70,33.15859385,6.336243144,,,
ISP2,3,14.75,80.96,860,79.43,0.092362327,100,11.23225936,7.20789564,,,
ISP2,3,13.74,73.82,860,72.29,0.084054746,100,10.24105198,7.20789564,,,
ISP2,3,15.4,80.56,860,79.03,0.091891866,100,11.17612696,7.20789564,,,
ISP2,4,11.73,65.13,985,63.6,0.064570834,150,7.889430155,8.25555489,,,
ISP2,4,11.03,63.27,985,61.74,0.062680175,150,7.663848803,8.25555489,,,
ISP2,4,11.99,68.07,985,66.55,0.06755844,150,8.245892233,8.25555489,,,
ISP2,5,4.97,27.25,792,25.72,0.032480656,300,4.105778722,6.637969008,,,
ISP2,5,4.61,26.6,792,25.07,0.031659129,300,4.00775938,6.637969008,,,
ISP2,5,5.43,31.14,792,29.61,0.037381722,300,4.690542584,6.637969008,,,
ISP2,6,6.12,33.18,1080,31.65,0.029306998,500,3.665679618,9.05177592,,,
ISP2,6,4.59,24.74,1080,23.22,0.02149591,500,2.733710467,9.05177592,,,
ISP2,6,5.09,27.82,1080,26.29,0.024338593,500,3.072881243,9.05177592,,,